-BUTYL-BUTYRYL-LACTATE,Non disponible,Non disponible,No table found
SABINOL,Perfumery,not available,Aloe Research Council - Duke writeup of non-peer reviewd book by Coats and draft by Henry
SABINOL,Pesticide,not available,"Duke, 1992 *"
SABINOL,Toxic,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
SACCALUTAL,Pesticide,not available,"Duke, 1992 *"
SACCALUTAL,Piscicide,0.4 ppm,"Duke, 1992 *"
SAFROLE,Anesthetic,not available,"Duke, 1992 *"
SAFROLE,Antiaggregant,IC50=110 uM,"Janssens, J., Laekeman, G.M., Pieters, L.A.C., Totte, J., Herman, A.G., and Vlietinck, A.J. 1990. Nutmeg Oil: Identification and Quantitation of its Most Active Constituents as Inhibitors of Platelet Aggregation. J.of Ethnopharmacology, 29: 179-188, 1990."
SAFROLE,Antibacterial,not available,"Duke, 1992 *"
SAFROLE,Anticonvulsant,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
SAFROLE,Antiseptic,not available,Merck 11th Edition
SAFROLE,Calcium-Antagonist,IC50=58 uM,"Duke, 1992 *"
SAFROLE,Calcium-Antagonist,IC50=57 uM gpg,"Duke, 1992 *"
SAFROLE,Cancer-Preventive,not available,"Stitt, P. A. Why George Should Eat Broccoli. Dougherty Co, Milwaukee, WI, 1990, 399 pp."
SAFROLE,Carcinogenic,not available,Merck 11th Edition
SAFROLE,Carminative,not available,"Duke, 1992 *"
SAFROLE,CNS-Depressant,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
SAFROLE,CNS-Stimulant,not available,"List, P.H. and Horhammer, L., Hager's Handbuch der Pharmazeutischen Praxis, Vols. 2-6, Springer-Verlag, Berlin, 1969-1979."
SAFROLE,Controlled,not available,"HerbalGram No. 20, page 15."
SAFROLE,Cytochrome-P450-Inducer,not available,"Newall, C. A., Anderson, L. A. and Phillipson, J. D. 1996. Herbal Medicine - A Guide for Health-care Professionals. The Pharmaceutical Press, London. 296pp."
SAFROLE,Cytochrome-P488-Inducer,not available,"Newall, C. A., Anderson, L. A. and Phillipson, J. D. 1996. Herbal Medicine - A Guide for Health-care Professionals. The Pharmaceutical Press, London. 296pp."
SAFROLE,DNA-Binder,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
SAFROLE,Hepatocarcinogenic,not available,"Newall, C. A., Anderson, L. A. and Phillipson, J. D. 1996. Herbal Medicine - A Guide for Health-care Professionals. The Pharmaceutical Press, London. 296pp."
SAFROLE,Hepatoregenerative,not available,CRC Handbook of Medicinal Herbs and/or CRC Handbook of Proximate Analyses
SAFROLE,Hepatotoxic,not available,Martindale's 29th
SAFROLE,Hypothermic,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
SAFROLE,Irritant,not available,"Rinzler, C. A. 1990. The Complete Book of Herbs, Spices and Condiments. Facts on File, New York. 199 pp."
SAFROLE,Mutagenic,not available,"Duke, 1992 *"
SAFROLE,Nematicide,MLC=1 mg/ml,"Shoyakugaku Zasshi, 44: 183."
SAFROLE,Neurotoxic,not available,"R.J. Hixtable (Huxtable, R.J. (as T. Max). 1992. This and That:The Essential Pharmacology of Herbs and Spices. Tips 13:15-20 Huxtable, R.J. 1992b. The Myth of Benficent Nature. The Risk of Herbal Preparations. Anns. Intern. Med. 117(2):165-6; Huxtable, R."
SAFROLE,Pediculicide,not available,Merck 11th Edition
SAFROLE,Perfumery,not available,Merck 11th Edition
SAFROLE,Pesticide,not available,"Duke, 1992 *"
SAFROLE,Psychoactive,not available,"R.J. Hixtable (Huxtable, R.J. (as T. Max). 1992. This and That:The Essential Pharmacology of Herbs and Spices. Tips 13:15-20 Huxtable, R.J. 1992b. The Myth of Benficent Nature. The Risk of Herbal Preparations. Anns. Intern. Med. 117(2):165-6; Huxtable, R."
SAFROLE,Tremorigenic,not available,"Duke, 1992 *"
SAIKOGENIN,Antiedemic,not available,"Duke, 1992 *"
SAIKOSAPONIN,Adrenocortical-Stimulant,not available,"Duke, 1992 *"
SAIKOSAPONIN,Analgesic,not available,"Wagner & Wolff, eds. 1977. New Natural Products (RS164. I56. 176)"
SAIKOSAPONIN,Antiedemic,25 ppm,"Internat. J. Oriental Med. 15(4): 194, 1990+"
SAIKOSAPONIN,Antihepatotoxic,not available,"Duke, 1992 *"
SAIKOSAPONIN,Antiinflammatory,10 mg/kg ip,"Internat. J. Oriental Med. 15(4): 194, 1990+"
SAIKOSAPONIN,Antileukemic,not available,"Duke, 1992 *"
SAIKOSAPONIN,Antipyretic,not available,"Wagner & Wolff, eds. 1977. New Natural Products (RS164. I56. 176)"
SAIKOSAPONIN,Antitumor,IC50=5-100ug/ml,"Duke, 1992 *"
SAIKOSAPONIN,Antitussive,not available,"Wagner & Wolff, eds. 1977. New Natural Products (RS164. I56. 176)"
SAIKOSAPONIN,Antiulcer,not available,"Wagner & Wolff, eds. 1977. New Natural Products (RS164. I56. 176)"
SAIKOSAPONIN,CNS-Depressant,not available,"Wagner & Wolff, eds. 1977. New Natural Products (RS164. I56. 176)"
SAIKOSAPONIN,Corticosteronigenic,ED50=1-15 mg/kg ip,"Internat. J. Oriental Med. 15(4): 194, 1990+"
SAIKOSAPONIN,Hemolytic,not available,"Wagner & Wolff, eds. 1977. New Natural Products (RS164. I56. 176)"
SAIKOSAPONIN,Hepatoregenerative,not available,"Duke, 1992 *"
SAIKOSAPONIN,Hypocholesterolemic,not available,"Duke, 1992 *"
SAIKOSAPONIN,Immunomodulator,not available,"Duke, 1992 *"
SAIKOSAPONIN,Immunostimulant,not available,"Mills, Simon and Bone, Kerry. 2000. Phytotherapy. Churchill
Livinston, Edinburgh."
SAIKOSAPONIN,Lipolytic,not available,"Duke, 1992 *"
SAIKOSAPONIN,Pituitary-Stimulant,not available,"Duke, J. A. Writeups or information summaries on approximately 2,000 economic plants, USDA, ARS, Beltsville, MD 20705."
SAIKOSAPONIN,Promutagen,not available,"Duke, 1992 *"
SAIKOSAPONIN,Tranquilizer,not available,"Bezanger-Beauquesne, L. Noveautes En Phytotherapie. Septieme Revue. Plantes medicinales et phytotherapie, 24: 98, 1990."
SAIKOSAPONIN-A,ACTH-genic,not available,"Duke, 1992 *"
SAIKOSAPONIN-A,Antiaggregant,not available,"Duke, 1992 *"
SAIKOSAPONIN-A,Antiflu,not available,"Duke, 1992 *"
SAIKOSAPONIN-A,Antiinflammatory,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
SAIKOSAPONIN-A,Antiviral,not available,"Duke, 1992 *"
SAIKOSAPONIN-A,Cortocosterone-genic,ED50=0.3 mg/kg,"Duke, 1992 *"
SAIKOSAPONIN-A,Hyperglycemic,not available,"Duke, 1992 *"
SAIKOSAPONIN-D,ACTH-genic,not available,"Duke, 1992 *"
SAIKOSAPONIN-D,Analgesic,not available,"Duke, 1992 *"
SAIKOSAPONIN-D,Antiinflammatory,not available,"Duke, 1992 *"
SAIKOSAPONIN-D,Antipyretic,not available,"Duke, 1992 *"
SAIKOSAPONIN-D,Cortocosterone-genic,ED50=0.9 mg/kg,"Duke, 1992 *"
SAIKOSAPONIN-D,Hyperglycemic,not available,"Duke, 1992 *"
SAIKOSAPONIN-D,Nephroprotective,not available,"Duke, 1992 *"
SAIKOSAPONIN-D,Sedative,not available,"Duke, 1992 *"
SAINTOPIN,Topoisomerase-II-Inhibitor,2.5 uM,"Yamashita, Y., Saitoh, Y., Ando, K., Takahasi, K., Ohno, H., Nakano, H. 1990. Saintopin, a New Antitumor Antibiotic With Topoisomerase II Dependent DNA Cleavage Activity, From Paecilomyces. J Antibiot, 43: 1344-1346."
SAKURANETIN,Antibacterial,not available,"Duke, 1992 *"
SAKURANETIN,Antiseptic,not available,"Duke, 1992 *"
SAKURANETIN,Fungicide,1 mM,"Duke, 1992 *"
SAKURANETIN,Pesticide,not available,"Duke, 1992 *"
SALANNIN,Antifeedant,not available,"Rizk, A.F.M. and Al-Nowaihi, A.S., The Phytochemistry of the Horticultural Plants of Qatar, Scientific and Applied Research Centre, University of Qatar."
SALANNIN,Antimalarial,IC50=50 ug/ml,"Duke, 1992 *"
SALANNIN,Insectifuge,not available,"Jacobson, M., Glossary of Plant-Derived Insect Deterrents, CRC Press, Inc., Boca Raton, FL, 213 p, 1990."
SALANNIN,Pesticide,not available,"Duke, 1992 *"
SALBOSTATIN,Aldose-Reductase-Inhibitor,IC50=0.7 mM,"Vertesy, L., Fehlhaber, H., Schulz, a. 1994. The Trehalase Inhibitor Salbostatin, a Novel Metabolite from Streptomyces albus, ATCC21838. Angew Chem Int Ed Engl, 33(18): 1844-1846."
SALFREDIN-A-4,Aldose-Reductase-Inhibitor,not available,"Matsumoto, K., et al. 1995. Salfredins, New Aldose Reductase Inhibitors Produced by Crucibulum sp. RF-3817. I. Fermentation, Isolation and Structures of Salfredins. J Antibiot, 48(6): 439-446."
SALFREDIN-C-2,Aldose-Reductase-Inhibitor,not available,"Matsumoto, K., et al. 1995. Salfredins, New Aldose Reductase Inhibitors Produced by Crucibulum sp. RF-3817. I. Fermentation, Isolation and Structures of Salfredins. J Antibiot, 48(6): 439-446."
SALICIN,Analgesic,not available,"Williamson, E. M. and Evans, F. J., Potter's New Cyclopaedia of Botanical Drugs and Preparations, Revised Ed., Saffron Walden, the C. W. Daniel Co., Ltd., Essex UK, 362 pp, 1988, reprint 1989."
SALICIN,Antiaggregant,not available,"Williamson, E. M. and Evans, F. J., Potter's New Cyclopaedia of Botanical Drugs and Preparations, Revised Ed., Saffron Walden, the C. W. Daniel Co., Ltd., Essex UK, 362 pp, 1988, reprint 1989."
SALICIN,Antifeedant,not available,"Jacobson, M., Glossary of Plant-Derived Insect Deterrents, CRC Press, Inc., Boca Raton, FL, 213 p, 1990."
SALICIN,Antiinflammatory,not available,"Planta Medica, 56(6): 660, 1990."
SALICIN,Antineuralgic,not available,"Duke, 1992 *"
SALICIN,Antiperiodic,not available,"Duke, 1992 *"
SALICIN,Antipodagric,not available,"Duke, 1992 *"
SALICIN,Antipyretic,not available,"Duke, 1992 *"
SALICIN,Antirheumatic,not available,Merck 11th Edition
SALICIN,Pesticide,not available,"Duke, 1992 *"
SALICIN,Sedative,not available,"ANON. 1948-1976. The Wealth of India raw materials. Publications and Information Directorate, CSIR, New Delhi. 11 volumes."
SALICIN,Stomachic,not available,Merck 11th Edition
SALICIN,Teratogenic,not available,CRC Handbook of Medicinal Herbs and/or CRC Handbook of Proximate Analyses
SALICIN,Tonic,not available,"Duke, 1992 *"
SALICIN,Uterorelaxant,not available,"ANON. 1948-1976. The Wealth of India raw materials. Publications and Information Directorate, CSIR, New Delhi. 11 volumes."
SALICORTIN,Analgesic,not available,"Duke, 1992 *"
SALICYCLIC-ACID,Non disponible,Non disponible,No table found
SALICYL-SALICYLIC-ACID,Analgesic,not available,Martindale's 28th
SALICYL-SALICYLIC-ACID,Antiinflammatory,not available,Martindale's 28th
SALICYL-SALICYLIC-ACID,Antipyretic,"1,000/3-4x/orl/man/day",Martindale's 28th
SALICYL-SALICYLIC-ACID,Ulcerogenic,not available,Martindale's 28th
SALICYLALDEHYDE,Allelochemic,IC50=0.51 mM,"Lydon, J. & Duke, S., The potential of pesticides from plants, pp. 1-41 in Craker, L. & Simon, J., eds, Herbs, Spices & Medicinal Plants: Recent Advances in Botany, Horticulture, & Pharmacology, v. 4, Oryx Press, Phoenix, 1989, 267pp."
SALICYLALDEHYDE,FLavor,FEMA 0.5-20,Aloe Research Council - Duke writeup of non-peer reviewd book by Coats and draft by Henry
SALICYLALDEHYDE,Perfumery,not available,Aloe Research Council - Duke writeup of non-peer reviewd book by Coats and draft by Henry
SALICYLALDEHYDE,Pesticide,not available,"Duke, 1992 *"
SALICYLALDEHYDE,Sprout-Inhibitor,not available,"Duke, J.A.. Personal Communication."
SALICYLAMIDE,Analgesic,not available,"Duke, 1992 *"
SALICYLAMIDE,Antiinflammatory,not available,Martindale's 28th
SALICYLAMIDE,Antipyretic,"1,500 3x/orl/man/day",Martindale's 28th
SALICYLATE,Allelochemic,IC50=0.31 mM,"Lydon, J. & Duke, S., The potential of pesticides from plants, pp. 1-41 in Craker, L. & Simon, J., eds, Herbs, Spices & Medicinal Plants: Recent Advances in Botany, Horticulture, & Pharmacology, v. 4, Oryx Press, Phoenix, 1989, 267pp."
SALICYLATE,Antiradicular,not available,"O'Connell, M.J., Webster, N.R. 1989. Hyperoxia and salicylate metabolism in rats. J. Pharm. Pharmacol. 42: 205-206, 1990."
SALICYLATE,Pesticide,not available,"Duke, 1992 *"
SALICYLATES,Antiaggregant,not available,"Newall, C. A., Anderson, L. A. and Phillipson, J. D. 1996. Herbal Medicine - A Guide for Health-care Professionals. The Pharmaceutical Press, London. 296pp."
SALICYLATES,Antiinflammatory,not available,"Newall, C. A., Anderson, L. A. and Phillipson, J. D. 1996. Herbal Medicine - A Guide for Health-care Professionals. The Pharmaceutical Press, London. 296pp."
SALICYLATES,Antipyretic,not available,"Newall, C. A., Anderson, L. A. and Phillipson, J. D. 1996. Herbal Medicine - A Guide for Health-care Professionals. The Pharmaceutical Press, London. 296pp."
SALICYLATES,Antiuricosuric,not available,"Newall, C. A., Anderson, L. A. and Phillipson, J. D. 1996. Herbal Medicine - A Guide for Health-care Professionals. The Pharmaceutical Press, London. 296pp."
SALICYLATES,Hyperglycemic,not available,"Newall, C. A., Anderson, L. A. and Phillipson, J. D. 1996. Herbal Medicine - A Guide for Health-care Professionals. The Pharmaceutical Press, London. 296pp."
SALICYLATES,Hypoglycemic,not available,"Newall, C. A., Anderson, L. A. and Phillipson, J. D. 1996. Herbal Medicine - A Guide for Health-care Professionals. The Pharmaceutical Press, London. 296pp."
SALICYLATES,Uricosuric,not available,"Newall, C. A., Anderson, L. A. and Phillipson, J. D. 1996. Herbal Medicine - A Guide for Health-care Professionals. The Pharmaceutical Press, London. 296pp."
SALICYLIC-ACID,Aldose-Reductase-Inhibitor,724.6 uM,"Toyomizu, M., Sugiyama, S., Jin, R. L., Nakatsu, T. 1993. Alpha-Glucosidase and Aldose Reductase Inhibitors: Constituents of Cashew, Anacardium occidentale, Nut Shell Liquids. Phytotherapy Research, 7(3): 252-254."
SALICYLIC-ACID,Analgesic,not available,"Duke, 1992 *"
SALICYLIC-ACID,Antiarthritic,not available,"Madaus, G. 1976. Lehrbuch der Biologischen Hilfmittel. Vol,. 1-3. 2862 pp. (+ 144 p. index). Georg Olms Verlag, Hildescheim. Reprint of 1938 Madaus."
SALICYLIC-ACID,Antibacterial,not available,Martindale's 28th
SALICYLIC-ACID,Antidandruff,not available,"A.L.L. Hunting. Encyclopedia of Shampoo Ingredients. Micelle Press, Cranford NJ. 467 pp."
SALICYLIC-ACID,Antidermatotic,not available,"Duke, 1992 *"
SALICYLIC-ACID,Antieczemic,not available,"Duke, 1992 *"
SALICYLIC-ACID,Antiichthyosic,not available,Martindale's 29th
SALICYLIC-ACID,Antiinflammatory,not available,"Pharmazie, 46: 156, 1991."
SALICYLIC-ACID,Antineuralgic,not available,"Madaus, G. 1976. Lehrbuch der Biologischen Hilfmittel. Vol,. 1-3. 2862 pp. (+ 144 p. index). Georg Olms Verlag, Hildescheim. Reprint of 1938 Madaus."
SALICYLIC-ACID,Antioncychomycotic,not available,Martindale's 29th
SALICYLIC-ACID,Antioxidant,not available,"Huang, K. C. 1993. The Pharmacology of Chinese Herbs. CRC Press, Boca Raton, FL 388 pp."
SALICYLIC-ACID,Antiperiodic,not available,"Duke, 1992 *"
SALICYLIC-ACID,Antipodagric,not available,"Duke, 1992 *"
SALICYLIC-ACID,Antipsoriac,not available,"Duke, 1992 *"
SALICYLIC-ACID,Antipyretic,not available,"Duke, 1992 *"
SALICYLIC-ACID,Antirheumatic,not available,"Duke, 1992 *"
SALICYLIC-ACID,Antiseborrheic,not available,"Duke, 1992 *"
SALICYLIC-ACID,Antiseptic,not available,"A.L.L. Hunting. Encyclopedia of Shampoo Ingredients. Micelle Press, Cranford NJ. 467 pp."
SALICYLIC-ACID,Antitumor,not available,"Duke, 1992 *"
SALICYLIC-ACID,Antitympanitic,not available,Merck 11th Edition
SALICYLIC-ACID,Cancer-Preventive,not available,"Stitt, P. A. Why George Should Eat Broccoli. Dougherty Co, Milwaukee, WI, 1990, 399 pp."
SALICYLIC-ACID,Comedolytic,not available,Martindale's 29th
SALICYLIC-ACID,COX-2-Inhibitor,not available,"Newmark, T. M. and Schulick, P. 2000. Herbal Cox-2 Inhibition - Nature's Challenge to Arthritis, Cancer & Alzheimer's Disease. Hohm Press, Prescott AZ."
SALICYLIC-ACID,Cyclooxygenase-Inhibitor,not available,"Duke, 1992 *"
SALICYLIC-ACID,Dermatitigenic,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
SALICYLIC-ACID,Fungicide,"MIC 1,000 ug/ml","Duke, 1992 *"
SALICYLIC-ACID,Hypoglycemic,not available,"Economic & Medicinal Plant Research, 6: 158."
SALICYLIC-ACID,Insectifuge,not available,"Tunon, H., Thorsell, W., and Bohlin, L. 1993. Mosquito Repelling Activity of Compounds Occurring in Achillea millefolium L. (Asteraceae). Economic Botany 48(2): 111-120, 1994."
SALICYLIC-ACID,Keratolytic,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
SALICYLIC-ACID,Pesticide,not available,"Duke, 1992 *"
SALICYLIC-ACID,Thermogenic,130 ppm,"Duke, 1992 *"
SALICYLIC-ACID,Tineacide,not available,Martindale's 29th
SALICYLIC-ACID,Ulcerogenic,not available,"Duke, 1992 *"
SALIDROSIDE,CNS-Stimulant,not available,"Duke, 1992 *"
SALIGENIN,Analgesic,not available,"Nigg, H.N. and Seigler, D.S., eds. 1992. Phytochemical Resources for Medicine and Agriculture. Plenum Press, New York. 445 pp."
SALIGENIN,Anesthetic,not available,"Madaus, G. 1976. Lehrbuch der Biologischen Hilfmittel. Vol,. 1-3. 2862 pp. (+ 144 p. index). Georg Olms Verlag, Hildescheim. Reprint of 1938 Madaus."
SALIGENIN,Antiinflammatory,not available,"Planta Medica, 56(6): 660, 1990."
SALIPURPOSIDE,Prostaglandin-Synthesis-Inhibitor,IC50=13.14 uM,"Ogundaini, A., Farah, M., Perera, P., Samuelsson, G., Bohlin, L. 1996. Isolation of two new Antiinflammatory Biflavanoids from Sarcophyte piriei. J Natural Products, 59(6): 587-590."
SALSOLIDINE,Cardioactive,1-3 mg/kg,"Duke, 1992 *"
SALSOLINE,Antihypertensive,not available,"Duke, 1992 *"
SALSOLINE,Cardioactive,1-3 mg/kg,"Duke, 1992 *"
SALSOLINE,Hypotensive,not available,"UNESCO. 1960. Medicinal Plants of the Arid Zones. eds.(botany) I.C. Chopra, B.K. Abrol and K.L. Hands; eds (pharmacology), R. Paris and G. Dillemann  UNESCO, Place de Fontenoy, Paris 7E. 96 pp."
SALSOLINOL,Antialcoholic,not available,"Duke, 1992 *"
SALSOLINOL,Cardiac,not available,"Duke, 1992 *"
SALSOLINOL,Hypertensive,not available,"Duke, 1992 *"
SALVIANOLIC-ACID-A,Aldose-Reductase-Inhibitor,0.01 uM rat,"Du, G. H., Qiu, Y., Tian, Y. E., Zhang, J. T. 1995. Prevention of Galactose-Induced Cataractogenesis in Rats by Salvianolic Acid A. Yao Hsueh Hsueh Pao, 30(8): 561-566."
SALVIANOLIC-ACID-A,Anticoagulant,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
SALVIANOLIC-ACID-A,Antioxidant,not available,"Leung, A. Y. and Foster, S. 1995. Encyclopedia of Common Natural Ingredients 2nd Ed. John Wiley & Sons, New York. 649 pp."
SALVIANOLIC-ACID-A,Antisecretory,not available,"Duke, 1992 *"
SALVIANOLIC-ACID-A,Antiulcer,25 mg/kg ip,"Murakami, S., et al. 1989. Effect of Salvianolic Acid A, a Depside from Roots of Salvia miltiorrhiza, on Gastric H+,K+-ATPase. Planta Medica, 56(4): 360, 1990."
SALVIANOLIC-ACID-A,ATPase-Inhibitor,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
SALVIANOLIC-ACID-B,Antioxidant,not available,"Leung, A. Y. and Foster, S. 1995. Encyclopedia of Common Natural Ingredients 2nd Ed. John Wiley & Sons, New York. 649 pp."
SALVIN,Antibacterial,not available,"Lawrence Review of Natural Products, Aug-92."
SALVIN,Antiseptic,not available,"Lawrence Review of Natural Products, Aug-92."
SALVIN,Pesticide,not available,"Duke, 1992 *"
SALVIN-MONOMETHYL-ETHER,Antibacterial,not available,"Lawrence Review of Natural Products, Aug-92."
SALVIN-MONOMETHYL-ETHER,Antiseptic,not available,"Lawrence Review of Natural Products, Aug-92."
SALVIN-MONOMETHYL-ETHER,Pesticide,not available,"Duke, 1992 *"
SALVIOL,Antibacterial,not available,"Duke, 1992 *"
SALVIOL,Cytostatic,ID50=10ug/ml,"Darias, V., Bravo, L., Rabanal, R., Sanchez-Mateo, C.C., and Martin-Herrera, D.A. 1988. Cytostatic and Antibacterial Activity of Some Compounds Isolated from Several Lamiaceae Species from the Canary Islands. Planta Medica 56(1): 70, 1990."
SALVIOL,Pesticide,not available,"Duke, 1992 *"
SAMADERIN,Antifeedant,not available,"Duke, 1992 *"
SAMADERIN,Cytotoxic,not available,"Duke, 1992 *"
SAMADERIN,Pesticide,not available,"Duke, 1992 *"
SAMADERINE-B-CHAPARRINONE,Antimalarial,IC50=0.071 uM,"Rukunga, G. and Simons, A. J. 2006. The Potential of Plants as a Source of Antimalarial Agents - A Review. Africa Herbal Antimalaria Meeting. PlantaPhile Publications, Berlin. 72 pp."
SAMADERINE-B-CHAPARRINONE,Antiplasmodial,IC50=0.071 uM,"Rukunga, G. and Simons, A. J. 2006. The Potential of Plants as a Source of Antimalarial Agents - A Review. Africa Herbal Antimalaria Meeting. PlantaPhile Publications, Berlin. 72 pp."
SAMADERINE-E-CHAPARRINONE,Antimalarial,IC50=0.021 uM,"Rukunga, G. and Simons, A. J. 2006. The Potential of Plants as a Source of Antimalarial Agents - A Review. Africa Herbal Antimalaria Meeting. PlantaPhile Publications, Berlin. 72 pp."
SAMADERINE-E-CHAPARRINONE,Antiplasmodial,IC50=0.021 uM,"Rukunga, G. and Simons, A. J. 2006. The Potential of Plants as a Source of Antimalarial Agents - A Review. Africa Herbal Antimalaria Meeting. PlantaPhile Publications, Berlin. 72 pp."
SAMADERINE-X-CHAPARRINONE,Antimalarial,IC50=0.015 uM,"Rukunga, G. and Simons, A. J. 2006. The Potential of Plants as a Source of Antimalarial Agents - A Review. Africa Herbal Antimalaria Meeting. PlantaPhile Publications, Berlin. 72 pp."
SAMADERINE-X-CHAPARRINONE,Antiplasmodial,IC50=0.015 uM,"Rukunga, G. and Simons, A. J. 2006. The Potential of Plants as a Source of Antimalarial Agents - A Review. Africa Herbal Antimalaria Meeting. PlantaPhile Publications, Berlin. 72 pp."
SAMADERINE-Z-CHAPARRINONE,Antimalarial,IC50=0.071 uM,"Rukunga, G. and Simons, A. J. 2006. The Potential of Plants as a Source of Antimalarial Agents - A Review. Africa Herbal Antimalaria Meeting. PlantaPhile Publications, Berlin. 72 pp."
SAMADERINE-Z-CHAPARRINONE,Antiplasmodial,IC50=0.071 uM,"Rukunga, G. and Simons, A. J. 2006. The Potential of Plants as a Source of Antimalarial Agents - A Review. Africa Herbal Antimalaria Meeting. PlantaPhile Publications, Berlin. 72 pp."
SAMBACEIN-I,ACE-Inhibitor,IC50=28 uM/,"Duke, 1992 *"
SAMBACEIN-II,ACE-Inhibitor,IC50=26 uM/,"Duke, 1992 *"
SAMBACEIN-III,ACE-Inhibitor,not available,"Duke, 1992 *"
SAMBACOSIDE-A,ACE-Inhibitor,not available,"Duke, 1992 *"
SAMBUNIGRIN,Aldose-Reductase-Inhibitor,0.1 mM/l rat (weak activity),"Fujita, T., Ohira, K., Miyatake, K., Nakano, Y., Nakayama, M. 1995. Inhibitory Effect of Perillosides A and C, Related Monoterpene Glucosides on Aldose Reductase and Their Structure-Activity Relationships. Chem Pharm Bull, 43(6): 920-926."
SAMBUNIGRIN,Cyanogenic,not available,"Duke, 1992 *"
SAMIDINE,Vasodilator,not available,Martindale's 28th
SANCHINAN-A,Immunomodulator,not available,"Duke, 1992 *"
SANCHINAN-A,Phagocytotic,not available,"Duke, 1992 *"
SANCHINAN-A,RES-Activator,not available,"Duke, 1992 *"
SANDARACOPIMARIC-ACID,Juvabional,not available,"Jacobson, M., Glossary of Plant-Derived Insect Deterrents, CRC Press, Inc., Boca Raton, FL, 213 p, 1990."
SANDARACOPIMARIC-ACID,Pesticide,not available,"Duke, 1992 *"
SANGGENONE-C,Aldose-Reductase-Inhibitor,100 uM,"Yamaguchi, T., Sato, J., Mihashi, H., Nomura, T. 1991. Aldose Reductase Inhibitors Containing Benzopyrans for Treatment of Diseases Associated with Diabetes. Patent, Japan Kokai Tokkyo Koho-03 68,517. 9pp."
SANGUIDIMERINE,Antitumor,not available,"Duke, 1992 *"
SANGUIIN-H-11,Topoisomerase-II-Inhibitor,IC100=0.2 uM,"Kashiwada, Y., Nonaka, G. I., Nishioka, I., Lee, J. H., Bori, I., Fukushima, Y., Bastow, K. F., Lee, K. H. 1993. Tannins as Potent Inhibitors of DNA Topoisomerase II in vitro. J Pharm Sci, 82: 487-492."
SANGUIIN-H-2,Topoisomerase-II-Inhibitor,IC100=0.2 uM,"Kashiwada, Y., Nonaka, G. I., Nishioka, I., Lee, J. H., Bori, I., Fukushima, Y., Bastow, K. F., Lee, K. H. 1993. Tannins as Potent Inhibitors of DNA Topoisomerase II in vitro. J Pharm Sci, 82: 487-492."
SANGUIIN-H-6,Antiangiogenic,not available,"Duke, 1992 *"
SANGUIIN-H-6,Topoisomerase-I-Inhibitor,IC50=0.02-5 uM,"Bastow, K.F., Bori, I.D., Fukushima, Y., Kashiwada, Y., Tanaka, T., Nonaka, G., Nishioka, I., Lee, K.H. 1993. Inhibition of DNA Topoisomerases by Sanguiin H-6, a Cytotoxic Dimeric Ellagitannin From Sanguisorba officinalis. Planta Medica, 59: 240-245."
SANGUIIN-H-6,Topoisomerase-II-Inhibitor,IC50=0.01-0.16 uM,"Bastow, K.F., Bori, I.D., Fukushima, Y., Kashiwada, Y., Tanaka, T., Nonaka, G., Nishioka, I., Lee, K.H. 1993. Inhibition of DNA Topoisomerases by Sanguiin H-6, a Cytotoxic Dimeric Ellagitannin From Sanguisorba officinalis. Planta Medica, 59: 240-245."
SANGUIIN-H-6,Topoisomerase-II-Inhibitor,IC100=0.2 uM,"Kashiwada, Y., Nonaka, G. I., Nishioka, I., Lee, J. H., Bori, I., Fukushima, Y., Bastow, K. F., Lee, K. H. 1993. Tannins as Potent Inhibitors of DNA Topoisomerase II in vitro. J Pharm Sci, 82: 487-492."
SANGUIIN-H-6,VEGF-Inhibitor,IC50=7.4 ug/ml,"Duke, 1992 *"
SANGUIN-H-11,AntiAIDS,not available,"Duke, 1992 *"
